vf_precinct_id,vf_precinct_county,vf_precinct_ward,vf_precinct_name,vf_precinct_code,vf_precinct_count
22459,CANYON,,Canyon - 16,16,1035
22228,ADA,,Ada - 1602,1602,1024
2245,BANNOCK,,Pocatello 42,42,342
22280,CANYON,,Canyon - 75,75,736
22574,BENEWAH,,St. Maries,9,521
22708,BLAINE,,Blaine - 006,6,271
22384,LATAH,,Moscow 05,05MOS,424
22118,NEZ PERCE,,Nez Perce - 02,2,433
22316,BONNEVILLE,,Bonneville - 09,9,508
22336,BONNEVILLE,,Bonneville - 05,5,569
22431,JEFFERSON,,Roberts,16,303
22173,ADA,,Ada - 1907,1907,887
22777,MADISON,,Madison - 017,17,137
22392,ONEIDA,,Oneida - 002,2,318
22891,BEAR LAKE,,Bern,6,45
22382,ADA,,Ada - 2102,2102,875
22383,BONNEVILLE,,Bonneville - 06,6,602
22559,BONNEVILLE,,Bonneville - 44,44,499
22733,BLAINE,,Blaine - 003,3,606
22756,IDAHO,,Harpster,15,151
22918,BENEWAH,,St. Joe,8,27
22689,CANYON,,Canyon - 28,28,491
22534,BONNEVILLE,,Bonneville - 50,50,512
22146,NEZ PERCE,,Nez Perce - 17,17,458
2244,ELMORE,,Mt. Home #8,MH #8,820
22165,ADA,,Ada - 1505,1505,672
22273,ADA,,Ada - 1510,1510,748
22269,ADA,,Ada - 2012,2012,775
22821,BONNER,,Priest River West City,PRWC,185
22815,MINIDOKA,,Rupert #2,8,412
22745,ELMORE,,Glenns Ferry,GF #1,467
22606,BONNER,,Dover,DOVR,221
22752,ELMORE,,Prairie,PR #1,38
22107,TWIN FALLS,,Buhl 1,BU001,366
22340,TWIN FALLS,,Hansen,HA001,487
22597,ADAMS,,Adams - 002,2,325
22122,NEZ PERCE,,Nez Perce - 10,10,311
22202,ADA,,Ada - 1407,1407,666
2251,ADA,,Ada - 2211,2211,727
22687,ADA,,Ada - 1804,1804,105
2240,BOISE,,Garden Valley,30,728
22565,CASSIA,,Jackson,115,119
22580,KOOTENAI,,Kootenai - 56,56,425
22782,JEFFERSON,,Lorenzo,8,138
22157,ADA,,Ada - 1411,1411,815
2256,ADA,,Ada - 1506,1506,783
22867,BONNER,,Careywood,CARW,343
22175,LATAH,,Moscow 18,18MOS,447
22736,ELMORE,,Mayfield,MF #1,110
22761,BONNEVILLE,,Bonneville - 58,58,443
22663,NEZ PERCE,,Nez Perce - 11,11,490
22900,LEWIS,,Reubens,6,25
22860,SHOSHONE,,Shoshone - 09,9,667
22908,ONEIDA,,Oneida - 005,5,60
22527,BLAINE,,Blaine - 005,5,540
22439,TWIN FALLS,,Twin Falls 13,TF013,499
22206,ADA,,Ada - 2112,2112,956
22865,KOOTENAI,,Kootenai - 12,12,300
22535,BINGHAM,,Fort Hall 20,20,362
22298,KOOTENAI,,Kootenai - 50,50,436
22347,TWIN FALLS,,Twin Falls 02,TF002,554
22458,ADA,,Ada - 1419,1419,710
22811,KOOTENAI,,Kootenai - 13,13,306
2230,ADA,,Ada - 1614,1614,852
2224,OWYHEE,,S Homedale,2,506
22636,BOUNDARY,,Bonners Ferry/Kootenai,1,529
22333,BONNEVILLE,,Bonneville - 59,59,453
2291,ADA,,Ada - 1813,1813,807
22438,ADA,,Ada - 2010,2010,778
22307,BINGHAM,,Shelley 14,14,511
22679,CLEARWATER,,Grangemont,14,59
22863,KOOTENAI,,Kootenai - 11,11,582
22265,ADA,,Ada - 2004,2004,787
22906,IDAHO,,Fenn,6,82
22582,FRANKLIN,,Preston 1,1,248
22746,MINIDOKA,,Rupert #3,9,272
22300,BANNOCK,,Pocatello 05,5,426
22132,JEFFERSON,,Rigby 1,11,323
22214,WASHINGTON,,West Weiser,2,262
2269,BONNER,,Sandpoint,SDPT,549
22388,BANNOCK,,Pocatello 40,40,255
22367,CANYON,,Canyon - 49,49,612
22881,IDAHO,,Lowell,20,64
22523,CLARK,,Clark - 003,3,71
22454,KOOTENAI,,Kootenai - 42,42,689
22444,FREMONT,,Fremont - 011,11,284
22640,KOOTENAI,,Kootenai - 14,14,652
22248,BINGHAM,,Blackfoot 1,1,539
22724,CASSIA,,Malta,116,167
22408,LATAH,,Moscow 15,15MOS,415
22635,KOOTENAI,,Kootenai - 30,30,707
2252,CANYON,,Canyon - 14,14,884
22530,TWIN FALLS,,Buhl 3,BU003,363
22803,KOOTENAI,,Kootenai - 48,48,477
22719,LEMHI,,Lemhi,8,153
223,JEFFERSON,,Rigby 4,14,519
22287,FRANKLIN,,Mapleton 11,11,139
22306,BINGHAM,,Riverside 17,17,448
2263,TWIN FALLS,,Twin Falls 22,TF022,443
2290,BONNEVILLE,,Bonneville - 57,57,628
22325,BINGHAM,,Firth 8,8,491
22305,BINGHAM,,Pingree 18,18,286
2271,ELMORE,,Mt. Home #7,MH #7,475
22826,LATAH,,Palouse 26,26PAL,153
2259,BONNEVILLE,,Bonneville - 27,27,550
2250,ADA,,Ada - 1704,1704,675
22149,POWER,,Power - 002,2,478
22540,FREMONT,,Fremont - 004,4,258
22225,FRANKLIN,,Dayton 8,8,224
22814,FRANKLIN,,Preston 2,2,289
22768,MADISON,,Madison - 003,3,479
22657,TWIN FALLS,,Murtaugh,MU001,205
22227,ADA,,Ada - 2110,2110,295
22754,LATAH,,Moscow 01,01MOS,78
226,BANNOCK,,Pocatello 38,38,362
22759,JEFFERSON,,Rigby 2,12,249
22566,CASSIA,,View,125,116
22601,LATAH,,Juliaetta 23,23JUL,229
22283,CANYON,,Canyon - 72,72,676
22436,BONNEVILLE,,Bonneville - 25,25,424
22210,ADA,,Ada - 2113,2113,631
22740,LEWIS,,W Kamiah,2,343
22394,BINGHAM,,Blackfoot 23,23,248
22872,BONNER,,Kelso,KELS,84
22155,ADA,,Ada - 1605,1605,840
22728,WASHINGTON,,East Weiser,6,180
2261,ELMORE,,Mt. Home #5,MH #5,543
22233,ADA,,Ada - 1601,1601,1099
22402,TWIN FALLS,,Twin Falls 11,TF011,463
22698,GEM,,12 Sweet-Montour,12-SW,260
22650,NEZ PERCE,,Nez Perce - 27,27,129
22501,CASSIA,,Starrahs Ferry,122,535
22385,ADA,,Ada - 1920,1920,386
22218,ADA,,Ada - 1413,1413,707
22315,JEFFERSON,,Rigby 3,13,1015
2294,ADA,,Ada - 1812,1812,841
22767,TETON,,Teton - 003,3,272
22625,BONNER,,Laclede,LACL,226
22200,ADA,,Ada - 1702,1702,843
22464,TWIN FALLS,,Twin Falls 14,TF014,527
22318,KOOTENAI,,Kootenai - 53,53,576
2212,CANYON,,Canyon - 60,60,854
22441,BANNOCK,,Chubbuck 56,56,483
22924,CLEARWATER,,Headquarters,10,13
22166,JEROME,,Southwest,10,553
22774,FREMONT,,Fremont - 002,2,293
22328,JEROME,,Southeast,9,274
22187,BANNOCK,,Pocatello 28,28,509
22769,LEMHI,,Junction,9,111
22264,BONNEVILLE,,Bonneville - 10,10,439
22910,SHOSHONE,,Shoshone - 13,13,25
22655,PAYETTE,,Payette - 007,7,149
