precinct_id,county,precinct_name,precinct_number,ward,polling_location_ids,source,INTERNAL_notes
330170006,BONNER,WMND,WMND,,440170006,Idaho Elections Division,
330170007,BONNER,COLA,COLA,,440170007,Idaho Elections Division,
330170008,BONNER,SOSD,SOSD,,440170008,Idaho Elections Division,
330170009,BONNER,COLB,COLB,,440170009,Idaho Elections Division,
330170010,BONNER,DOVR,DOVR,,440170010,Idaho Elections Division,
330170011,BONNER,HOPE,HOPE,,440170011,Idaho Elections Division,
330170012,BONNER,LACL,LACL,,440170012,Idaho Elections Division,
330170013,BONNER,OLDT,OLDT,,440170013,Idaho Elections Division,
330170014,BONNER,PRLK,PRLK,,440170014,Idaho Elections Division,
330170015,BONNER,LAMB,LAMB,,440170015,Idaho Elections Division,
330170016,BONNER,BLUE,BLUE,,440170016,Idaho Elections Division,
330170017,BONNER,EDGM,EDGM,,440170017,Idaho Elections Division,
330170018,BONNER,PRWC,PRWC,,440170018,Idaho Elections Division,
330170019,BONNER,WPRB,WPRB,,440170019,Idaho Elections Division,
330170020,BONNER,EAPR,EAPR,,440170020,Idaho Elections Division,
330170021,BONNER,GAML,GAML,,440170021,Idaho Elections Division,
330170022,BONNER,SAGL,SAGL,,440170022,Idaho Elections Division,
330170023,BONNER,ALGO,ALGO,,440170023,Idaho Elections Division,
330170024,BONNER,KOOT,KOOT,,440170024,Idaho Elections Division,
330170025,BONNER,AIRP,AIRP,,440170025,Idaho Elections Division,
330170026,BONNER,BALD,BALD,,440170026,Idaho Elections Division,
330170027,BONNER,WASH,WASH,,440170027,Idaho Elections Division,
330170028,BONNER,HUMB,HUMB,,440170028,Idaho Elections Division,
330170029,BONNER,GRCK,GRCK,,440170029,Idaho Elections Division,
330170030,BONNER,SELL,SELL,,440170030,Idaho Elections Division,
330170031,BONNER,ODEN,ODEN,,440170031,Idaho Elections Division,
330170032,BONNER,SDPT,SDPT,,440170032,Idaho Elections Division,
330170033,BONNER,WREN,WREN,,440170033,Idaho Elections Division,
330190001,BONNEVILLE,5,5,,440190001,Idaho Elections Division,
330190002,BONNEVILLE,56,56,,440190002,Idaho Elections Division,
330190003,BONNEVILLE,50,50,,440190003,Idaho Elections Division,
330190004,BONNEVILLE,16,16,,440190004,Idaho Elections Division,
330190005,BONNEVILLE,7,7,,440190005,Idaho Elections Division,
330190006,BONNEVILLE,22,22,,440190006,Idaho Elections Division,
330190007,BONNEVILLE,46,46,,440190007,Idaho Elections Division,
330190008,BONNEVILLE,47,47,,440190008,Idaho Elections Division,
330190009,BONNEVILLE,9,9,,440190009,Idaho Elections Division,
330190010,BONNEVILLE,45,45,,440190010,Idaho Elections Division,
330190011,BONNEVILLE,10,10,,440190011,Idaho Elections Division,
330190012,BONNEVILLE,2,2,,440190012,Idaho Elections Division,
330190013,BONNEVILLE,20,20,,440190013,Idaho Elections Division,
330190014,BONNEVILLE,11,11,,440190014,Idaho Elections Division,
330190015,BONNEVILLE,6,6,,440190015,Idaho Elections Division,
